,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
0,1-Dec-18,Furnished,Males or females,Cookridge (LS16),None,6 months,['£550 pcm'],Looking For Something Special!,Double room,[550],550,LS16
1,1-Jan-19,Furnished,Males or females,Leeds (LS3),None,6 months,['£370 pcm'],**No Deposit**Quiet/Clean**Nr City Cntr,Double room,[370],370,LS3
2,15-Dec-18,Furnished,Males or females,Headingley (LS6),None,6 months,['£450 pcm'],Exceptional 5 Bedroom Houseshare to Rent,Double room,[450],450,LS6
3,22-Dec-18,Furnished,No info,Leeds (LS12),None,6 months,['£450 pcm (whole property)'],1 Bed Studio - All Bill Included - Fully Furnished,1 bed flat,[450],450,LS12
4,Now,Furnished,Males or females,Leeds (LS4),None,6 months,['£340 pcm'],City Centre? Burley Park Station? Great housemates,Double room,[340],340,LS4
5,Now,Furnished,Males or females,Chapel Allerton (LS7),None,None,['£350 pcm'],Large Room Available from now in Chapel Allerton,Double room,[350],350,LS7
6,Now,Furnished,Males or females,Burley (LS4),None,12 months,"['£98 pw', '£98 pw', '£98 pw', '£110 pw', '£110 pw', '£98 pw', '£98 pw']",7 Bed shared House with Jacuzzi and back garden,4 doubles,"[392, 392, 392, 440, 440, 392, 392]",405.7142857,LS4
7,Now,Furnished,Males or females,Kirkstall (LS5),None,6 months,"['£350 pcm', '£350 pcm', '£350 pcm']","**Large Room to Let in 3 Bed House, Norman Grove**",Double room,"[350, 350, 350]",350,LS5
8,4-Jan-19,No info,Males or females,Woodhouse (LS6),6 months,None,['£350 pcm'],Lovely Double room in a fantastic House Share,Double room,[350],350,LS6
9,1-Dec-18,Furnished,Males or females,Hyde Park (LS6),None,None,['£460 pcm'],Large Double Room in Great Location,Double room,[460],460,LS6
10,21-Dec-18,Furnished,No info,Armley (LS12),None,6 months,['£450 pcm (whole property)'],Double studio room - Leeds LS12 - All bills includ,Studio flat,[450],450,LS12
11,28-Jan-19,Furnished,Males or females,Burley (LS4),None,6 months,"['£330 pcm', '£315 pcm', '£350 pcm', '£325 pcm', '£370 pcm', '£315 pcm']",Burley House Share On A Budget,Double room,"[330, 315, 350, 325, 370, 315]",334.1666667,LS4
12,1-Jul-19,Furnished,Males or females,Headingley (LS6),None,12 months,"['£140 pw', '£129 pw', '£129 pw', '£159 pw', '£155 pw', '£135 pw']",Professional or Post-Graduate Shared Property,6 doubles,"[560, 516, 516, 636, 620, 540]",564.6666667,LS6
13,15-Jan-19,Furnished,Males or females,Headingley (LS6),None,6 months,['£575 pcm'],Modern duplex close to city centre,Double room,[575],575,LS6
14,30-Nov-18,No info,Female preferred,West Park (LS16),None,6 months,['£350 pcm'],Double Room to let - West Park/Otley Road,Double room,[350],350,LS16
15,Now,Furnished,No info,Pudsey (LS28),None,6 months,['£550 pcm (whole property)'],Furnished 2bed Flat (Pudsey) for £550,2 bed flat,[550],550,LS28
16,1-Jul-19,Furnished,No info,Leeds (LS4),None,6 months,"['£1,475 pcm (whole property)']",4 Double Bed Student House - TV In Every Room!,4 bed house,[1475],1475,LS4
17,Now,Furnished,Males or females,Kirkstall (LS5),None,6 months,"['£100 pw', '£95 pw']",* 2 X Dbl Rooms in Professional Houseshare**,2 doubles,"[400, 380]",390,LS5
18,1-Dec-18,Furnished,Male preferred,Leeds City Centre (LS9),None,3 months,['£450 pcm'],"Double Room In Roberts wharf, City Centre",Double room,[450],450,LS9
19,1-Jan-19,Furnished,Males or females,Kirkstall (LS5),None,6 months,['£475 pcm'],Quality spacious room in great house + a cleaner,Double room,[475],475,LS5
20,Now,Furnished,Males or females,Leeds (LS27),None,3 months,"['£400 pcm', '£500 pcm', '£430 pcm']","Double Room ,near train station&MoterWays",Double room,"[400, 500, 430]",443.3333333,LS27
21,1-Dec-18,Furnished,No info,Headingley (LS6),None,3 months,['£590 pcm (whole property)'],Second Floor Self Contained Flat,1 bed flat,[590],590,LS6
22,Now,Furnished,Males or females,Armley (LS12),None,None,"['£385 pcm', '£365 pcm', '£385 pcm', '£355 pcm']",LARGE ROOM - all bills & cleaner (no fees),Double room,"[385, 365, 385, 355]",372.5,LS12
23,Now,Furnished,Males or females,Leeds (LS13),None,6 months,['£450 pcm'],LAST ROOM! Brand new ensuite!,Double room,[450],450,LS13
24,4-Jan-19,Furnished,Female preferred,Morley (LS27),None,None,['£80 pw'],Share with me. Partilha sÃ³ comigo.,Single room,[320],320,LS27
25,14-Dec-18,Furnished,Males or females,Headingley (LS6),7 months,None,['£89 pw'],Double Room in 6 bedroom apartment,Double room,[356],356,LS6
26,Now,Furnished,No info,Bramley (LS13),None,6 months,['£375 pcm (whole property)'],One Bed Flat - Great Value -refurbished,1 bed flat,[375],375,LS13
