,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
0,Now,Furnished,Males or females,Liverpool (L15),None,6 months,['£119 pw'],Fabulous Boutique Hotel Style Luxury House Share,Double room,[476],476.0,L15
1,Now,Furnished,Males or females,Liverpool (L6),None,6 months,"['£280 pcm', '£280 pcm', '£280 pcm', '£280 pcm', '£280 pcm', '£280 pcm', '£280 pcm']",Lovely Double Rooms Available Now,5 doubles,"[280, 280, 280, 280, 280, 280, 280]",280.0,L6
2,Now,Furnished,Males or females,Liverpool City Centre (L6),None,6 months,"['£90 pw', '£80 pw', '£80 pw', '£80 pw']",Refurbished Double Rooms near City-centre,4 doubles,"[360, 320, 320, 320]",330.0,L6
3,15 Dec 2018,Furnished,Males or females,Liverpool City Centre (L1),6 months,6 months,['£115 pw'],Tenancy Available for Now or January 2019,Double room,[460],460.0,L1
4,01 Dec 2018,Furnished,Males or females,Liverpool (L15),None,6 months,"['£360 pcm', '£330 pcm']",>>>>Black Friday Offer!!<<<<,2 doubles,"[360, 330]",345.0,L15
5,02 Jan 2019,Furnished,Males or females,Aigburth (L17),None,6 months,['£350 pcm'],>>Large Double Room!! NO DEPOSIT!!!<<,Double room,[350],350.0,L17
6,01 Dec 2018,Furnished,Males or females,Allerton (L18),None,6 months,"['£330 pcm', '£360 pcm']",>>>>Black Friday Offer!!<<<<,2 doubles,"[330, 360]",345.0,L18
7,01 Dec 2018,Furnished,Males or females,Aigburth (L17),None,6 months,['£345 pcm'],>>>>Black Friday Offer!!<<<<,Double room,[345],345.0,L17
8,Now,Furnished,Males or females,Liverpool (L15),None,3 months,['£300 pcm'],>>>Last room at this low low price<<<,Double room,[300],300.0,L15
9,Now,Furnished,Males or females,Walton (L9),None,3 months,['£280 pcm'],Very spacious property with friendly housemates,Double room,[280],280.0,L9
10,Now,Furnished,Males or females,Whiston (L35),None,3 months,['£365 pcm'],En-suite double room close to Whiston Hospital,Double room,[365],365.0,L35
11,07 Jan 2019,Furnished,Males or females,Liverpool (L8),None,6 months,['£430 pcm'],Modern Large Double Room!! NO DEPOSIT!!!,Double room,[430],430.0,L8
