,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
0,Now,Furnished,Males or females,Leyton (E10),None,2 months,"['£1,000 pcm', '£660 pcm']",2 Large Double Rooms in Gay House in Leyton,2 doubles,"[1000, 660]",830.0,E10
1,23 Dec 2018,Furnished,Males or females,Chiswick Park (W4),None,4 months,['£180 pw'],Modern Double Room in Chiswick Park (C1),Double room,[720],720.0,W4
2,Now,No info,Males or females,Stratford (E15),None,None,"['£650 pcm', '£541 pcm']",Double rooms available in Stratford**All Bills Inc,2 doubles,"[650, 541]",595.5,E15
3,23 Dec 2018,Furnished,Males or females,Shoreditch (E1),None,None,['£800 pcm'],2 Large Double in Shoreditch Bricklane,2 doubles,[800],800.0,E1
4,01 Dec 2018,Furnished,Males or females,Regent's Park (NW1),None,2 months,"['£1,000 pcm']",Double Room Zone 1 near Regents Park,Double room,[1000],1000.0,NW1
5,Now,Furnished,Males or females,Manor Park (E12),None,None,['£375 pcm'],Double room TO LET in Manor Park,Double room,[375],375.0,E12
6,30 Nov 2018,Furnished,No info,Manor House (N4),None,6 months,"['£1,195 pcm (whole property)']",Brand new flat with separate kitchen inc bills,Studio flat,[1195],1195.0,N4
7,Now,Furnished,Males or females,London E3 (E3),None,3 months,['£650 pcm'],ðCheap & Bright Double Room in E3-Zone 2ð,Double room,[650],650.0,E3
8,17 Dec 2018,Furnished,Males or females,London E1 (E1),None,3 months,['£750 pcm'],Stunning Double Room in Liverpool Street Area,Double room,[750],750.0,E1
9,02 Dec 2018,Furnished,Males or females,Canary Wharf (E14),None,3 months,['£650 pcm'],ð¡Special Semi-Double Room in Canary Wharfð¡,Double room,[650],650.0,E14
10,01 Dec 2018,Furnished,No info,London Bridge (SE1),None,6 months,"['£1,650 pcm (whole property)']",Fully furnished 1st floor flat in london bridge.,1 bed flat,[1650],1650.0,SE1
11,06 Dec 2018,Furnished,Males or females,Wood Green (N22),None,3 months,['£625 pcm'],Brand New Double Room in Modern House,Double room,[625],625.0,N22
12,01 Dec 2018,Furnished,Males or females,Old Street (N1),None,6 months,"['£200 pw', '£210 pw', '£225 pw']",3 Bedrooms - Old Street - Furnishd - Bills Incl.,3 doubles,"[800, 840, 900]",846.6666666666666,N1
13,Now,Furnished,Males or females,Streatham (SW16),None,6 months,['£750 pcm'],Large double in friendly houseshare with garden,Double room,[750],750.0,SW16
14,01 Feb 2019,Furnished,Males or females,Earl's Court (SW5),None,12 months,['£625 pcm'],"Cosy, bright room in amazing flat in Earls Court",Single room,[625],625.0,SW5
15,02 Dec 2018,Furnished,Males or females,Custom House (E16),None,3 months,['£550 pcm'],Newly Refurbished Single Bedroom Available To Let,Single room,[550],550.0,E16
16,01 Dec 2018,Furnished,Males or females,Brockley (SE4),1 month,1 month,['£566 pcm'],"Short Term - Small double in clean, stylish flat",Double room,[566],566.0,SE4
17,Now,Furnished,Males or females,Kingsbury (NW9),24 months,6 months,"['£650 pcm', '£500 pcm']",Double Room  To Rent Kingsbury,2 doubles,"[650, 500]",575.0,NW9
18,20 Dec 2018,Furnished,Males or females,Hackney (E9),None,None,['£708 pcm'],The best house family in London,Double room,[708],708.0,E9
19,05 Dec 2018,Furnished,Males or females,London NW1 (NW1),None,6 months,['£250 pw'],Large Double room Warren street NW1,Double room,[1000],1000.0,NW1
20,Now,Furnished,Female preferred,North Finchley (N12),None,None,['£550 pcm'],Beautiful Double Room in Friendly Family Home,Double room,[550],550.0,N12
21,Now,Furnished,Males or females,Stepney Green (E1),None,11 months,['£650 pcm'],Large Double for 650 Mile End,Double room,[650],650.0,E1
