,Availablility,Furnishing,Gender_requirement,Location,Max_period,Min_period,Price,Short_description,Size,Price_per_month,Average_price_per_month,Postal_code
0,01 Sep 2019,Furnished,No info,Broughton (M7),None,12 months,"['£1,800 pcm (whole property)']",*** Available for Next Academic Year 2019/20***,4 bed property,[1800],1800.0,M7
1,20 Dec 2018,Furnished,Males or females,Salford (M7),None,6 months,['£370 pcm'],Extremely Spacious Ground Floor Double Available,Double room,[370],370.0,M7
2,10 Dec 2018,Furnished,Males or females,Sale (M33),None,6 months,['£470 pcm'],Very Large Double Room in Superb House,Double room,[470],470.0,M33
3,Now,Furnished,Males or females,Rusholme (M14),1 month,1 month,"['£360 pcm', '£450 pcm', '£450 pcm', '£360 pcm', '£360 pcm']",12 Ho **5 Double Bedrooms **Ideal Location for Uni,Double room,"[360, 450, 450, 360, 360]",396.0,M14
4,Now,Unfurnished,No info,Whalley Range (M16),None,6 months,['Potential Buddy Ups'],Modern Two Bedroom Flat,2 bed flat,[],,M16
5,04 Feb 2019,No info,Males or females,Salford Quays (M50),None,6 months,['£350 pcm'],Large Double Room with En-suite Near Salford Royal,Double room,[350],350.0,M50
6,01 Sep 2019,Furnished,No info,Salford (M6),None,12 months,"['£1,430 pcm (whole property)']",*** Available for Next Academic Year 2019/20***,3 bed house,[1430],1430.0,M6
7,01 Dec 2018,Furnished,Males or females,Fallowfield (M14),None,6 months,"['£395 pcm', '£395 pcm']",Lovely Friendly shared house  central Fallowfield,2 doubles,"[395, 395]",395.0,M14
8,Now,Furnished,Males or females,Swinton (M27),None,6 months,"['£460 pcm', '£460 pcm', '£460 pcm', '£460 pcm']",Brand New Modern Rooms,4 doubles,"[460, 460, 460, 460]",460.0,M27
9,15 Dec 2018,Furnished,No info,Manchester (M13),None,6 months,['£540 pcm (whole property)'],1 bedroom flat to rent opposite MRI,1 bed flat,[540],540.0,M13
10,23 Dec 2018,Furnished,Males or females,Rusholme (M14),2 months,None,['£80 pw'],"£320pm all bills and broadband inc, single :)",Single room,[320],320.0,M14
11,17 Dec 2018,Furnished,Males or females,Eccles (M30),None,6 months,['£495 pcm'],Beautiful Hi-Tech Room in Luxury Home!,Double room,[495],495.0,M30
12,Now,Furnished,Males or females,Salford (M5),None,6 months,"['£410 pcm', '£400 pcm', '£450 pcm', '£410 pcm', '£410 pcm', '£390 pcm', '£370 pcm', '£400 pcm']",Double Bedroom in Detached house prime location,Double room,"[410, 400, 450, 410, 410, 390, 370, 400]",405.0,M5
13,05 Dec 2018,Furnished,Male preferred,Manchester City Centre (M1),None,7 months,['£500 pcm'],Double room near Oxford Road station,Double room,[500],500.0,M1
14,01 Jan 2019,Furnished,Males or females,Manchester City Centre (M4),None,12 months,['£500 pcm'],"Northern Quarter, 3 Bed Town House",Single room,[500],500.0,M4
15,01 Dec 2018,Furnished,Males or females,Manchester (M34),None,6 months,"['£100 pw', '£100 pw', '£100 pw', '£100 pw']",Droylsden Road M34 5SW - â £100 & Move In â,4 doubles,"[400, 400, 400, 400]",400.0,M34
